num_waypoints,iris_time_mean,iris_time_std,iris_time_min,iris_time_max,gcs_time_mean,gcs_time_std,gcs_time_min,gcs_time_max,path_length_mean,path_length_std,path_length_min,path_length_max,success_count,total_trials,avg_regions,success_rate,total_time_mean
3,11.70990111065718,1.1686356151623074,10.870002624986228,13.044529040984344,3.9861343490580715e-05,4.014968243473583e-05,1.4749995898455381e-05,8.616701234132051e-05,,,,,0,3,4.0,0.0,11.70994097200067
4,10.150783152319491,1.226689859180455,9.303181457973551,11.55740979098482,0.017890110999966662,0.015332219656898868,0.00020758301252499223,0.027488416992127895,1.0787635096761452,0.3667129939441283,0.8194582649090307,1.3380687544432597,2,3,5.0,66.66666666666666,10.168673263319457
5,17.851281847339123,3.790877034699373,14.29110466700513,21.83695483300835,0.00027312534317995113,3.935241841560204e-05,0.00023925001733005047,0.00031629198929294944,,,,,0,3,6.0,0.0,17.851554972682305
6,18.512478847328264,3.418631482396329,15.216650791990105,22.04192929097917,0.07943254167912528,0.009818968908070758,0.0684422500198707,0.08734062500298023,1.057517003618363,0.3579779972892419,0.6975642917283545,1.4134870538978175,3,3,7.0,100.0,18.59191138900739
8,17.147034235997126,0.6646112406766068,16.416247249988373,17.715333833009936,0.14852038865986592,0.020845252847809883,0.1298309169942513,0.17100104101700708,0.7274419370995991,0.09899811370659062,0.6133871921877354,0.7911223456880281,3,3,9.0,100.0,17.29555462465699
10,16.835500361339655,0.8869711805580206,15.81149195798207,17.364026292052586,0.22301655567328757,0.015043869004688227,0.21134379104478285,0.23999420896871015,1.1288347008668151,0.135574770964036,0.9723277853169178,1.2102038545100702,3,3,11.0,100.0,17.05851691701294
