num_waypoints,trial,iris_time,gcs_time,path_length,success,num_regions,error_message
3,0,13.044529040984344,1.8667022231966257e-05,,False,4,
3,1,10.870002624986228,8.616701234132051e-05,,False,4,
3,2,11.21517166600097,1.4749995898455381e-05,,False,4,
4,0,9.303181457973551,0.025974332995247096,1.3380687544432597,True,5,
4,1,11.55740979098482,0.027488416992127895,0.8194582649090307,True,5,
4,2,9.591758208000101,0.00020758301252499223,,False,5,
5,0,21.83695483300835,0.00023925001733005047,,False,6,
5,1,17.425786042003892,0.00026383402291685343,,False,6,
5,2,14.29110466700513,0.00031629198929294944,,False,6,
6,0,22.04192929097917,0.0684422500198707,1.4134870538978175,True,7,
6,1,18.278856459015515,0.08734062500298023,0.6975642917283545,True,7,
6,2,15.216650791990105,0.0825147500145249,1.0614996652289173,True,7,
8,0,16.416247249988373,0.1298309169942513,0.777816273423034,True,9,
8,1,17.715333833009936,0.17100104101700708,0.7911223456880281,True,9,
8,2,17.309521624993067,0.14472920796833932,0.6133871921877354,True,9,
10,0,17.330982833984308,0.23999420896871015,1.2039724627734574,True,11,
10,1,17.364026292052586,0.21771166700636968,1.2102038545100702,True,11,
10,2,15.81149195798207,0.21134379104478285,0.9723277853169178,True,11,
