num_waypoints,iris_time_mean,iris_time_std,iris_time_min,iris_time_max,gcs_time_mean,gcs_time_std,gcs_time_min,gcs_time_max,path_length_mean,path_length_std,path_length_min,path_length_max,success_count,total_trials,avg_regions,success_rate,total_time_mean
4,8.056361110667543,1.1100746128119554,7.2625974160037,9.324862166016828,0.006618805656520029,0.011195027197915536,9.170797420665622e-05,0.01954549999209121,0.4147929252207716,,0.4147929252207716,0.4147929252207716,1,3,5.0,33.33333333333333,8.062979916324064
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3,0.0,0.0,0.0
