num_waypoints,iris_time_mean,iris_time_std,iris_time_min,iris_time_max,gcs_time_mean,gcs_time_std,gcs_time_min,gcs_time_max,path_length_mean,path_length_std,path_length_min,path_length_max,success_count,total_trials,avg_regions,success_rate,total_time_mean
2,6.910271933197509,0.4243164173293994,6.44051791599486,7.321809332992416,6.435042014345527e-05,1.030085032277653e-05,5.2292016334831715e-05,7.82920396886766e-05,,,,,0,5,3.0,0.0,6.910336283617653
4,7.866684033197816,0.487778040730408,7.267071290989406,8.512454250012524,0.004315216816030443,0.009098181724719661,0.0001146250288002193,0.020589874999132007,0.43628878426201156,,0.43628878426201156,0.43628878426201156,1,5,5.0,20.0,7.870999250013846
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,5,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,5,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,5,0.0,0.0,0.0
